Area,Location,Bedrooms,Bathrooms,Year Built,Nearby Metro,Price
3974,Delhi,3,3,2014,No,136.96
1660,Hyderabad,1,2,2009,No,71.95
2094,Delhi,2,2,2003,Yes,82.13
1930,Delhi,2,2,2003,Yes,73.23
1895,Delhi,2,1,2007,Yes,78.79
3892,Kolkata,3,2,2012,No,133.16
2438,Pune,5,2,2011,No,99.7
2969,Delhi,5,1,2020,No,103.64
1266,Kolkata,4,2,2010,No,61.46
2038,Bangalore,4,3,2011,Yes,91.71
1130,Chennai,4,3,2014,No,79.13
2282,Delhi,1,1,2012,Yes,89.26
2935,Pune,5,2,1997,No,117.3
3971,Delhi,4,1,2009,No,115.06
3719,Chennai,3,2,2004,No,134.92
930,Mumbai,3,1,2018,No,36.49
2485,Mumbai,1,3,2003,Yes,83.51
1569,Hyderabad,5,3,1997,Yes,88.5
3191,Pune,2,3,2021,Yes,102.63
2315,Pune,2,3,2015,Yes,82.19
3653,Pune,5,3,2009,Yes,153.72
3233,Delhi,2,1,2001,Yes,120.19
2015,Chennai,5,3,2022,No,90.14
1755,Chennai,3,1,2014,Yes,73.13
3124,Chennai,1,1,1996,Yes,107.85
1984,Mumbai,3,1,2017,Yes,96.73
1259,Chennai,4,1,1995,Yes,59.69
821,Pune,4,2,2003,No,58.78
3100,Kolkata,1,3,2016,No,108.83
1547,Delhi,1,1,2021,No,61.81
3704,Mumbai,1,1,2022,No,136.47
1274,Hyderabad,3,2,2011,No,64.56
1882,Delhi,1,2,2012,No,69.43
3358,Bangalore,3,2,2001,Yes,130.52
2847,Kolkata,4,1,2009,No,102.25
3547,Pune,2,1,2007,No,121.6
1775,Mumbai,2,2,1999,No,77.45
2606,Pune,3,1,2022,Yes,135.62
989,Delhi,4,3,2003,No,69.11
3805,Chennai,5,3,2011,Yes,159.05
3534,Kolkata,5,1,2022,No,128.0
3805,Bangalore,5,3,2003,Yes,155.16
1362,Pune,4,1,2021,Yes,65.14
2699,Bangalore,4,1,2002,No,107.8
2067,Delhi,1,3,2015,No,64.5
3679,Pune,5,1,2004,No,152.94
2328,Chennai,2,1,2009,No,88.13
1446,Bangalore,2,1,2017,No,57.97
2868,Mumbai,5,1,1999,No,102.96
3688,Hyderabad,3,1,2019,Yes,164.47
3014,Delhi,2,1,2011,Yes,83.83
2097,Pune,4,2,2021,No,87.79
3235,Mumbai,5,3,1996,Yes,141.45
1400,Chennai,2,3,2004,Yes,77.96
3163,Chennai,1,1,2012,No,114.85
2861,Bangalore,1,3,2015,Yes,107.97
1041,Delhi,4,3,2022,Yes,62.22
2841,Hyderabad,3,2,1998,Yes,124.34
3624,Pune,1,1,1995,No,93.76
3412,Kolkata,3,1,1996,No,109.93
3745,Mumbai,3,2,2007,Yes,144.6
2163,Pune,1,3,2015,No,67.82
2939,Mumbai,2,3,1995,No,94.42
2190,Delhi,3,3,2000,Yes,111.13
3803,Chennai,2,1,1998,Yes,145.22
2278,Chennai,5,3,2000,Yes,125.84
3356,Pune,5,3,2008,No,139.82
1575,Pune,3,1,2007,Yes,73.91
834,Bangalore,1,2,2019,Yes,57.76
3053,Mumbai,4,1,2014,No,122.69
3952,Bangalore,1,3,1995,Yes,137.63
2755,Mumbai,2,2,2013,No,86.77
2385,Delhi,2,3,1998,Yes,108.92
3873,Pune,4,2,2002,Yes,121.64
1821,Hyderabad,3,3,2015,Yes,91.95
3413,Mumbai,5,3,2018,No,139.04
1929,Chennai,3,2,1996,No,80.13
2300,Delhi,4,2,2019,Yes,103.86
1502,Chennai,3,2,2020,Yes,62.51
3249,Delhi,1,3,2013,No,108.9
3577,Mumbai,1,1,2020,No,109.37
2379,Chennai,4,1,2015,No,93.2
961,Kolkata,1,1,2003,Yes,47.75
1001,Hyderabad,1,3,2017,No,19.71
2781,Hyderabad,5,1,2004,Yes,118.63
1795,Mumbai,4,3,2009,No,80.29
3117,Bangalore,2,2,2003,Yes,119.08
1615,Delhi,3,3,1997,Yes,87.69
1255,Pune,2,2,2006,No,64.22
2075,Chennai,2,2,2014,No,83.28
1816,Hyderabad,5,3,2017,No,84.8
3143,Mumbai,5,3,2012,No,124.18
3567,Chennai,1,2,2021,Yes,136.67
1137,Mumbai,2,3,2012,No,39.33
1678,Bangalore,4,1,2005,No,56.89
1876,Pune,3,2,1996,No,80.46
1591,Chennai,1,2,2014,Yes,64.65
3064,Kolkata,4,2,1997,No,108.29
1563,Chennai,1,1,2007,Yes,53.93
3035,Mumbai,4,1,2010,Yes,112.02
1179,Mumbai,1,2,2008,No,29.56
1292,Chennai,3,1,2022,No,74.42
3912,Hyderabad,4,2,2006,Yes,159.67
1980,Bangalore,1,1,2004,No,69.55
2862,Chennai,3,3,1997,No,104.78
864,Delhi,3,2,2002,No,25.71
3368,Kolkata,3,1,2011,No,117.57
2167,Kolkata,1,1,2007,Yes,65.41
1952,Hyderabad,4,3,2021,No,83.41
2827,Kolkata,5,3,2020,Yes,130.4
3495,Kolkata,5,2,2017,No,126.96
2295,Delhi,4,2,2013,No,88.56
3934,Chennai,3,2,1995,Yes,146.62
1962,Bangalore,1,3,1998,Yes,90.46
2322,Hyderabad,2,3,2022,No,81.8
3440,Mumbai,2,3,2016,Yes,151.49
1191,Hyderabad,3,1,2007,No,79.12
2498,Kolkata,4,1,2004,Yes,116.22
1218,Mumbai,1,3,2020,No,54.05
3136,Chennai,4,3,1996,No,133.35
1178,Pune,3,2,2012,No,52.89
2596,Mumbai,1,1,1996,Yes,89.93
3078,Delhi,5,3,2018,No,112.15
3865,Delhi,4,2,2018,Yes,147.97
2888,Pune,4,2,2002,Yes,122.75
3899,Kolkata,3,3,2007,Yes,150.01
2982,Kolkata,4,2,2016,No,109.34
1000,Pune,3,3,2005,Yes,71.22
2663,Kolkata,5,2,1996,Yes,133.2
1579,Kolkata,3,1,2019,Yes,83.18
3777,Delhi,3,1,2022,Yes,139.63
3904,Chennai,1,1,2009,Yes,118.84
3919,Kolkata,4,1,2005,No,142.89
1302,Chennai,3,2,2019,No,67.94
3254,Chennai,3,1,2020,Yes,137.79
2551,Delhi,1,3,2004,No,91.33
1604,Pune,1,1,1995,No,38.78
2946,Kolkata,4,3,2001,No,117.29
3531,Bangalore,1,3,2000,No,122.44
2695,Delhi,4,3,2007,Yes,115.88
3573,Delhi,4,2,2016,No,152.86
2370,Mumbai,2,3,2018,Yes,96.97
1760,Chennai,2,2,2006,No,60.45
3460,Mumbai,3,3,2000,Yes,152.29
2285,Kolkata,4,1,2010,Yes,101.57
3490,Hyderabad,4,1,2016,No,131.02
1828,Hyderabad,2,2,2003,Yes,87.26
1302,Kolkata,1,3,2014,No,55.07
3614,Delhi,1,2,2001,No,90.74
1197,Hyderabad,1,2,2004,Yes,62.46
1670,Delhi,4,3,2020,Yes,98.38
3642,Delhi,2,2,2021,Yes,150.55
1192,Bangalore,5,1,2018,Yes,74.48
1006,Mumbai,2,2,2019,Yes,65.34
1838,Pune,3,2,2011,Yes,80.31
2681,Chennai,1,1,2012,No,93.98
3739,Chennai,1,3,2005,Yes,144.52
2284,Bangalore,4,1,1999,No,89.62
1663,Mumbai,3,3,2018,Yes,77.77
3590,Chennai,2,1,2018,Yes,135.61
1363,Delhi,4,3,2004,Yes,85.49
1820,Kolkata,5,1,2009,Yes,93.51
895,Mumbai,1,1,2018,No,21.57
2723,Hyderabad,5,3,2011,Yes,136.64
2557,Chennai,1,1,2004,No,88.47
3332,Mumbai,1,3,2008,Yes,121.92
3078,Bangalore,3,1,1997,Yes,122.32
3596,Pune,3,2,2016,Yes,141.07
2478,Pune,4,2,2015,No,88.75
1340,Mumbai,3,3,1995,Yes,72.84
1859,Bangalore,1,3,2004,Yes,73.99
3372,Chennai,2,1,2006,No,100.76
1983,Delhi,1,1,2015,No,60.61
2522,Kolkata,2,1,2002,No,82.52
3957,Mumbai,3,3,2017,Yes,143.81
2619,Kolkata,5,1,1996,No,125.57
3425,Mumbai,5,1,2011,Yes,149.18
3529,Chennai,3,3,2003,No,132.74
3404,Delhi,5,1,1995,Yes,147.23
2397,Delhi,2,3,2003,Yes,104.01
3860,Chennai,5,2,2017,No,143.71
3493,Mumbai,2,1,1998,No,109.77
1595,Kolkata,3,2,2004,Yes,74.41
1851,Chennai,3,3,1997,Yes,81.89
2443,Pune,5,3,2013,Yes,124.76
2163,Kolkata,1,3,2007,Yes,85.74
2781,Chennai,4,3,2012,No,118.45
2154,Bangalore,5,1,2001,No,84.45
2463,Mumbai,3,2,2015,No,84.45
2329,Hyderabad,3,2,2011,Yes,95.14
2838,Hyderabad,3,1,2002,No,131.52
2296,Bangalore,4,1,2014,Yes,88.04
3037,Mumbai,4,2,2002,Yes,114.55
2208,Mumbai,1,3,2002,Yes,77.49
2200,Pune,4,1,2015,No,83.63
2106,Chennai,3,1,2004,No,81.5
3480,Hyderabad,5,1,2006,No,112.54
3475,Chennai,4,2,2022,Yes,145.39
1772,Hyderabad,3,2,2004,No,58.58
2568,Kolkata,5,2,2016,No,107.93
2082,Hyderabad,4,1,1998,No,81.15
1509,Hyderabad,4,1,2022,Yes,79.45
2279,Pune,2,2,2003,No,63.58
2234,Pune,4,3,1996,No,99.61
1448,Delhi,4,2,2018,Yes,74.18
1117,Bangalore,1,1,1999,No,34.0
2057,Mumbai,3,3,2015,Yes,90.18
1483,Kolkata,2,3,2015,Yes,71.82
1463,Delhi,4,2,2021,No,67.26
2798,Chennai,3,2,2005,Yes,116.15
2431,Delhi,4,1,2006,Yes,118.88
2295,Chennai,1,3,2014,No,75.62
1936,Pune,1,1,1996,Yes,79.68
2653,Mumbai,3,1,2009,Yes,117.0
2320,Mumbai,5,1,2015,Yes,104.24
3289,Mumbai,4,3,2013,No,124.17
1363,Hyderabad,5,1,2004,No,61.87
2091,Hyderabad,3,1,2009,No,76.21
3984,Pune,2,1,2011,No,152.54
2436,Kolkata,2,1,2021,Yes,90.48
